"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LOC410140",0,3.30883024793463,0.983,0.249,0,"Neuron","LOC410140"
"LOC410353",0,3.2844808576959,0.977,0.104,0,"Neuron","LOC410353"
"Amih",0,3.03239654648895,0.981,0.332,0,"Neuron","Amih"
"LOC410498",0,2.92784331545066,0.978,0.097,0,"Neuron","LOC410498"
"LOC726188",0,2.91592599472997,0.978,0.148,0,"Neuron","LOC726188"
"LOC409007",0,2.87188386779541,0.999,0.87,0,"Neuron","LOC409007"
"Camkii",0,2.81151321693098,0.978,0.322,0,"Neuron","Camkii"
"Para",0,2.77386463523202,0.99,0.393,0,"Neuron","Para"
"Nrx-1",0,2.75828375122942,0.96,0.143,0,"Neuron","Nrx-1"
"LOC408914",0,2.70913654546385,0.844,0.109,0,"Neuron","LOC408914"
"brp",0,2.65628097611505,0.948,0.183,0,"Neuron","brp"
"LOC552844",0,2.62205868492796,0.969,0.149,0,"Neuron","LOC552844"
"LOC100577254",0,2.56934238770773,0.984,0.441,0,"Neuron","LOC100577254"
"LOC552619",0,2.49776199150916,0.966,0.089,0,"Neuron","LOC552619"
"LOC411113",0,2.48951646416433,0.99,0.51,0,"Neuron","LOC411113"
"LOC410791",0,2.48404935620755,0.976,0.298,0,"Neuron","LOC410791"
"LOC410320",0,2.47883440131398,0.971,0.335,0,"Neuron","LOC410320"
"LOC411693",0,2.47531545141204,0.928,0.174,0,"Neuron","LOC411693"
"LOC410317",0,2.46165850128903,0.93,0.083,0,"Neuron","LOC410317"
"LOC408769",0,2.45966550521223,0.93,0.098,0,"Neuron","LOC408769"
"LOC413568",0,2.44514294633834,0.953,0.111,0,"Neuron","LOC413568"
"LOC725803",0,2.4436132654745,0.881,0.113,0,"Neuron","LOC725803"
"Cac",0,2.42906930908177,0.956,0.11,0,"Neuron","Cac"
"LOC724433",0,2.40300846957319,0.947,0.092,0,"Neuron","LOC724433"
"LOC100859932",0,2.37260865526955,0.921,0.16,0,"Neuron","LOC100859932"
"LOC408343",0,2.34433026085188,0.972,0.41,0,"Neuron","LOC408343"
"LOC413994",0,2.34129400304423,0.977,0.413,0,"Neuron","LOC413994"
"LOC412099",0,2.31387085163035,0.985,0.566,0,"Neuron","LOC412099"
"LOC100577517",0,2.28735065687989,0.961,0.342,0,"Neuron","LOC100577517"
"LOC725970",0,2.26675509566564,0.974,0.233,0,"Neuron","LOC725970"
"pHCl",0,2.23878552345265,0.955,0.166,0,"Neuron","pHCl"
"LOC413005",0,2.17529525687335,0.992,0.612,0,"Neuron","LOC413005"
"LOC408770",0,2.12955606368909,0.974,0.334,0,"Neuron","LOC408770"
"LOC410882",0,2.1114214158966,0.824,0.082,0,"Neuron","LOC410882"
"LOC406124",0,2.11023023848087,0.66,0.061,0,"Neuron","LOC406124"
"LOC413076",0,2.1051706288128,0.884,0.098,0,"Neuron","LOC413076"
"LOC724655",0,2.1051043476846,0.817,0.091,0,"Neuron","LOC724655"
"LOC551385",0,2.09746243214295,0.867,0.096,0,"Neuron","LOC551385"
"LOC408465",0,2.07559975197337,0.939,0.099,0,"Neuron","LOC408465"
"AChE-2",0,2.058842475761,0.94,0.162,0,"Neuron","AChE-2"
"LOC551623",0,2.05186540609144,0.905,0.106,0,"Neuron","LOC551623"
"LOC412934",0,2.0435275174771,0.889,0.109,0,"Neuron","LOC412934"
"LOC408963",0,2.04078330819579,0.894,0.098,0,"Neuron","LOC408963"
"LOC550970",0,2.00385344199998,0.935,0.355,0,"Neuron","LOC550970"
"LOC100578112",0,1.98347770891825,0.846,0.171,0,"Neuron","LOC100578112"
"LOC410336",0,1.96405323892969,0.896,0.09,0,"Neuron","LOC410336"
"LOC726765",0,1.93381602753632,0.888,0.079,0,"Neuron","LOC726765"
"LOC410852",0,1.92936306269974,0.933,0.187,0,"Neuron","LOC410852"
"LOC409774",0,1.92588443608907,0.972,0.484,0,"Neuron","LOC409774"
"LOC408915",0,1.92389849981231,0.999,0.94,0,"Neuron","LOC408915"
"LOC413382",0,1.91886262655082,0.907,0.3,0,"Neuron","LOC413382"
"LOC100577283",0,1.90057676030652,0.859,0.13,0,"Neuron","LOC100577283"
"LOC410689",0,1.89739479648679,0.891,0.092,0,"Neuron","LOC410689"
"LOC408935",0,1.88895854261862,0.864,0.112,0,"Neuron","LOC408935"
"LOC409818",0,1.88075092755167,0.947,0.209,0,"Neuron","LOC409818"
"LOC408722",0,1.87375492780419,0.874,0.286,0,"Neuron","LOC408722"
"Or2",0,1.87234526849631,0.842,0.088,0,"Neuron","Or2"
"LOC100576965",0,1.86192793495849,0.757,0.139,0,"Neuron","LOC100576965"
"LOC552243",0,1.86163520573758,0.954,0.234,0,"Neuron","LOC552243"
"LOC408576",0,1.83311429613117,0.959,0.342,0,"Neuron","LOC408576"
"LOC724468",0,1.82955989148163,0.751,0.103,0,"Neuron","LOC724468"
"LOC413159",0,1.82216185791271,0.837,0.146,0,"Neuron","LOC413159"
"LOC414029",0,1.82200460495271,0.942,0.435,0,"Neuron","LOC414029"
"LOC410696",0,1.79668093304148,0.871,0.164,0,"Neuron","LOC410696"
"LOC413372",0,1.77983575495342,0.981,0.69,0,"Neuron","LOC413372"
"LOC413328",0,1.77854506294978,0.878,0.411,0,"Neuron","LOC413328"
"LOC409692",0,1.75708562355869,0.688,0.063,0,"Neuron","LOC409692"
"LOC411213",0,1.741022922843,0.854,0.191,0,"Neuron","LOC411213"
"LOC410373",0,1.72743195494658,0.871,0.151,0,"Neuron","LOC410373"
"LOC412777",0,1.72729467584916,0.824,0.088,0,"Neuron","LOC412777"
"LOC551261",0,1.71185152399423,0.983,0.701,0,"Neuron","LOC551261"
"LOC725131",0,1.68800483458048,0.857,0.148,0,"Neuron","LOC725131"
"LOC552608",0,1.67786548355033,0.84,0.182,0,"Neuron","LOC552608"
"LOC725959",0,1.63793831181848,0.919,0.288,0,"Neuron","LOC725959"
"LOC551647",0,1.61953934784197,0.83,0.221,0,"Neuron","LOC551647"
"LOC408393",0,1.6111048197381,0.849,0.158,0,"Neuron","LOC408393"
"LOC726101",0,1.59841138690838,0.848,0.28,0,"Neuron","LOC726101"
"LOC409780",0,1.59288777525301,0.993,0.872,0,"Neuron","LOC409780"
"LOC409142",0,1.58098456882681,0.852,0.113,0,"Neuron","LOC409142"
"LOC408809",0,1.57965689228603,0.827,0.113,0,"Neuron","LOC408809"
"LOC550899",0,1.57661385787691,0.834,0.16,0,"Neuron","LOC550899"
"LOC413368",0,1.57612438374312,0.876,0.262,0,"Neuron","LOC413368"
"LOC408908",0,1.56356427296935,0.881,0.271,0,"Neuron","LOC408908"
"LOC409020",0,1.55496678855084,0.973,0.549,0,"Neuron","LOC409020"
"LOC408992",0,1.55250579192081,0.893,0.23,0,"Neuron","LOC408992"
"LOC410959",0,1.54801662334272,0.797,0.092,0,"Neuron","LOC410959"
"LOC408430",0,1.53077174251965,0.837,0.121,0,"Neuron","LOC408430"
"LOC409836",0,1.51731177027807,0.858,0.314,0,"Neuron","LOC409836"
"LOC411748",0,1.50590567217381,0.781,0.188,0,"Neuron","LOC411748"
"LOC413040",0,1.50131381212606,0.746,0.081,0,"Neuron","LOC413040"
"LOC413837",0,1.49360986054094,0.859,0.236,0,"Neuron","LOC413837"
"LOC408934",0,1.46341179444453,0.717,0.062,0,"Neuron","LOC408934"
"LOC408586",0,1.46139685249506,0.792,0.073,0,"Neuron","LOC408586"
"LOC413721",0,1.45799704466486,0.942,0.469,0,"Neuron","LOC413721"
"LOC411078",0,1.4440666048505,0.766,0.178,0,"Neuron","LOC411078"
"LOC725894",0,1.44168189697824,0.743,0.107,0,"Neuron","LOC725894"
"GluCl",0,1.43619714720122,0.807,0.154,0,"Neuron","GluCl"
"LOC724903",0,1.41920796673253,0.72,0.077,0,"Neuron","LOC724903"
"Pkc",0,1.41262238132916,0.854,0.201,0,"Neuron","Pkc"
"LOC409138",0,1.40838834425145,0.755,0.069,0,"Neuron","LOC409138"
"LOC551737",0,1.40396359395603,0.721,0.148,0,"Neuron","LOC551737"
"LOC411617",0,1.39602100094881,0.927,0.425,0,"Neuron","LOC411617"
"LOC725891",0,1.39193187803516,0.637,0.059,0,"Neuron","LOC725891"
"LOC100577174",0,1.37384264993064,0.814,0.268,0,"Neuron","LOC100577174"
"LOC552209",0,1.36466352678474,0.69,0.068,0,"Neuron","LOC552209"
"LOC410001",0,1.36241049326448,0.719,0.07,0,"Neuron","LOC410001"
"LOC107965181",0,1.3378028195869,0.769,0.073,0,"Neuron","LOC107965181"
"LOC408306",0,1.33070664646319,0.735,0.057,0,"Neuron","LOC408306"
"LOC408664",0,1.32394369904767,0.939,0.529,0,"Neuron","LOC408664"
"LOC100578609",0,1.32328474853775,0.779,0.208,0,"Neuron","LOC100578609"
"LOC408564",0,1.29904109646858,0.742,0.107,0,"Neuron","LOC408564"
"LOC100578899",0,1.29795848661626,0.752,0.076,0,"Neuron","LOC100578899"
"LOC727221",0,1.29716790965976,0.875,0.343,0,"Neuron","LOC727221"
"LOC726972",0,1.29312660888169,0.802,0.251,0,"Neuron","LOC726972"
"LOC409782",0,1.26406165501141,0.739,0.17,0,"Neuron","LOC409782"
"LOC100576603",0,1.2467896633001,0.672,0.053,0,"Neuron","LOC100576603"
"LOC410170",0,1.22124226728402,0.906,0.452,0,"Neuron","LOC410170"
"LOC551249",0,1.21906978090781,0.688,0.074,0,"Neuron","LOC551249"
"LOC410674",0,1.21824954936085,0.884,0.413,0,"Neuron","LOC410674"
"LOC724292",0,1.2178217813349,0.983,0.757,0,"Neuron","LOC724292"
"LOC410060",0,1.2094030879809,0.961,0.737,0,"Neuron","LOC410060"
"LOC413569",0,1.19371928815154,0.97,0.701,0,"Neuron","LOC413569"
"LOC408917",0,1.17247237624022,0.704,0.055,0,"Neuron","LOC408917"
"LOC409680",0,1.16377385354729,0.668,0.094,0,"Neuron","LOC409680"
"LOC409001",0,1.15418493851533,0.682,0.064,0,"Neuron","LOC409001"
"LOC413784",0,1.1540926350222,0.69,0.13,0,"Neuron","LOC413784"
"Syt1",0,1.13264375590712,0.668,0.089,0,"Neuron","Syt1"
"LOC100578953",0,1.1233837611901,0.736,0.186,0,"Neuron","LOC100578953"
"LOC410657",0,1.11883479703006,0.633,0.05,0,"Neuron","LOC410657"
"LOC100188904",0,1.10807088066533,0.669,0.076,0,"Neuron","LOC100188904"
"LOC724172",0,1.0981101702967,0.996,0.801,0,"Neuron","LOC724172"
"LOC410923",0,1.09678492167101,0.894,0.483,0,"Neuron","LOC410923"
"LOC411871",3.9925743637414e-306,1.22620675741076,0.718,0.199,3.99576842323239e-302,"Neuron","LOC411871"
"LOC410710",6.43206338820377e-306,1.29609459104188,0.805,0.352,6.43720903891433e-302,"Neuron","LOC410710"
"LOC413698",1.94711510239276e-304,1.27533054859205,0.616,0.061,1.94867279447468e-300,"Neuron","LOC413698"
"LOC551320",1.25079483646479e-303,1.09155323372985,0.64,0.083,1.25179547233396e-299,"Neuron","LOC551320"
"LOC727127",3.58929969322472e-303,1.07559370133363,0.7,0.175,3.5921711329793e-299,"Neuron","LOC727127"
"LOC409409",8.89487133702631e-303,1.05557151926712,0.663,0.118,8.90198723409593e-299,"Neuron","LOC409409"
"LOC413503",3.75846125670798e-299,1.34772951386648,0.688,0.137,3.76146802571335e-295,"Neuron","LOC413503"
"LOC551733",1.11522574657638e-298,1.12353881323698,0.952,0.702,1.11611792717364e-294,"Neuron","LOC551733"
"LOC725408",1.18698983430799e-292,1.33900344014827,0.657,0.126,1.18793942617544e-288,"Neuron","LOC725408"
"Argk",2.13668313817937e-292,1.46141453669454,0.946,0.699,2.13839248468992e-288,"Neuron","Argk"
"LOC102655479",3.12364700202636e-291,1.13268803009631,0.731,0.227,3.12614591962798e-287,"Neuron","LOC102655479"
"LOC725485",6.45111923821783e-291,1.08393647160976,0.909,0.579,6.4562801336084e-287,"Neuron","LOC725485"
"LOC552651",1.35312355730278e-290,1.15750775038781,0.626,0.085,1.35420605614863e-286,"Neuron","LOC552651"
"Ef-1a-f1",7.5782426096495e-287,0.970840660129908,0.619,0.081,7.58430520373722e-283,"Neuron","Ef-1a-f1"
"LOC410853",1.08345576320837e-284,1.01961766417774,0.704,0.166,1.08432252781894e-280,"Neuron","LOC410853"
"LOC412594",1.19020329940177e-282,1.18329668062332,0.823,0.406,1.19115546204129e-278,"Neuron","LOC412594"
"LOC100576569",1.32652479411645e-282,1.00412411913542,0.606,0.076,1.32758601395175e-278,"Neuron","LOC100576569"
"LOC725093",4.37572354211782e-282,1.08920778289301,0.848,0.415,4.37922412095152e-278,"Neuron","LOC725093"
"LOC410363",1.00649013518256e-280,0.945218210637762,0.59,0.061,1.00729532729071e-276,"Neuron","LOC410363"
"LOC408869",3.48646906570674e-278,1.01457179292063,0.851,0.452,3.48925824095931e-274,"Neuron","LOC408869"
"LOC724592",6.07634933509742e-278,0.981395377188821,0.789,0.305,6.0812104145655e-274,"Neuron","LOC724592"
"LOC409006",3.84355992433599e-274,1.04887610651381,0.806,0.346,3.84663477227546e-270,"Neuron","LOC409006"
"LOC551897",1.02424194622393e-272,0.883535486960469,0.564,0.046,1.02506133978091e-268,"Neuron","LOC551897"
"LOC412167",2.56351518098299e-270,0.95676614956649,0.568,0.048,2.56556599312778e-266,"Neuron","LOC412167"
"LOC726514",2.82543378104894e-270,1.0649093718055,0.609,0.098,2.82769412807378e-266,"Neuron","LOC726514"
"LOC411586",1.3206800561531e-268,1.02664478927604,0.733,0.238,1.32173660019802e-264,"Neuron","LOC411586"
"LOC409882",2.85844003790908e-265,1.21029344193008,0.945,0.712,2.86072678993941e-261,"Neuron","LOC409882"
"LOC102654930",7.05363855149146e-262,1.27265033370645,0.556,0.046,7.05928146233265e-258,"Neuron","LOC102654930"
"LOC113218944",7.76985074828919e-261,0.929075366793345,0.796,0.271,7.77606662888782e-257,"Neuron","LOC113218944"
"LOC100577019",4.51883733882349e-256,0.928760712704889,0.592,0.089,4.52245240869454e-252,"Neuron","LOC100577019"
"LOC100577636",1.2635034885782e-255,1.11336289143403,0.633,0.143,1.26451429136906e-251,"Neuron","LOC100577636"
"LOC409327",2.89427241693834e-252,0.90943184656402,0.583,0.087,2.89658783487189e-248,"Neuron","LOC409327"
"LOC410948",4.96808134694829e-252,0.913161380252835,0.554,0.06,4.97205581202584e-248,"Neuron","LOC410948"
"LOC113218632",1.0799897038753e-249,0.981935465584638,0.58,0.087,1.0808536956384e-245,"Neuron","LOC113218632"
"LOC100576428",1.92844124656587e-249,1.08976282520574,0.55,0.061,1.92998399956312e-245,"Neuron","LOC100576428"
"LOC724195",1.30392785037739e-248,0.920014384457293,0.75,0.201,1.30497099265769e-244,"Neuron","LOC724195"
"LOC551883",2.84598659584704e-248,0.982358474389384,0.733,0.242,2.84826338512371e-244,"Neuron","LOC551883"
"LOC411805",2.15172608994429e-240,0.86780806665454,0.534,0.056,2.15344747081625e-236,"Neuron","LOC411805"
"LOC408471",1.06842074753746e-238,0.800024139204537,0.56,0.08,1.06927548413549e-234,"Neuron","LOC408471"
"LOC725581",7.16830193710768e-236,0.958909954682545,0.559,0.085,7.17403657865737e-232,"Neuron","LOC725581"
"LOC413947",4.67284034550281e-235,0.876215963459523,0.734,0.3,4.67657861777921e-231,"Neuron","LOC413947"
"LOC726948",2.31595511398797e-234,1.12956041106133,0.729,0.283,2.31780787807916e-230,"Neuron","LOC726948"
"LOC100578814",6.64825111286446e-234,0.808115413173464,0.526,0.056,6.65356971375475e-230,"Neuron","LOC100578814"
"LOC100576355",2.11972390451865e-232,0.837945032337899,0.533,0.066,2.12141968364227e-228,"Neuron","LOC100576355"
"LOC100577905",8.54938527108739e-232,0.82450400388168,0.536,0.064,8.55622477930426e-228,"Neuron","LOC100577905"
"LOC724651",3.34960680303956e-231,0.912284542823741,0.546,0.074,3.35228648848199e-227,"Neuron","LOC724651"
"LOC411046",4.91091691707912e-231,0.920063562298435,0.83,0.466,4.91484565061278e-227,"Neuron","LOC411046"
"LOC100576413",9.05809773062867e-231,0.921467509932386,0.921,0.65,9.06534420881318e-227,"Neuron","LOC100576413"
"LOC724242",6.29637053599295e-230,1.09646656424338,0.898,0.639,6.30140763242174e-226,"Neuron","LOC724242"
"LOC411639",1.89365376985183e-229,0.794015855674313,0.494,0.033,1.89516869286772e-225,"Neuron","LOC411639"
"LOC100578774",2.2965458219729e-229,0.834245011896011,0.566,0.102,2.29838305863048e-225,"Neuron","LOC100578774"
"LOC726925",1.03811049662827e-228,0.883742885790368,0.553,0.092,1.03894098502558e-224,"Neuron","LOC726925"
"LOC413125",2.36620224796969e-228,0.866048937302524,0.856,0.393,2.36809520976806e-224,"Neuron","LOC413125"
"LOC100577635",1.5906860509053e-227,0.872219300934652,0.522,0.059,1.59195859974603e-223,"Neuron","LOC100577635"
"LOC552711",1.1079156105724e-226,1.04991600859322,0.724,0.295,1.10880194306086e-222,"Neuron","LOC552711"
"LOC113219231",1.21599101487541e-226,0.938335180975631,0.509,0.046,1.21696380768731e-222,"Neuron","LOC113219231"
"LOC411282",2.35472367757377e-222,0.815194606392087,0.505,0.047,2.35660745651582e-218,"Neuron","LOC411282"
"LOC408903",7.44122660261254e-222,0.894774097136162,0.583,0.12,7.44717958389463e-218,"Neuron","LOC408903"
"LOC552782",5.61291928871272e-221,0.830163383128816,0.52,0.062,5.61740962414369e-217,"Neuron","LOC552782"
"LOC113219412",1.59015205654375e-220,0.861327595360192,0.533,0.076,1.59142417818899e-216,"Neuron","LOC113219412"
"LOC100578236",1.94775644724584e-219,0.874706818315066,0.546,0.093,1.94931465240363e-215,"Neuron","LOC100578236"
"LOC412650",3.36466783792614e-219,0.755323529350276,0.511,0.062,3.36735957219648e-215,"Neuron","LOC412650"
"LOC725453",8.84938241271342e-219,0.845256960236344,0.516,0.066,8.85646191864359e-215,"Neuron","LOC725453"
"LOC727311",8.46997256429167e-218,0.813101712375672,0.556,0.101,8.4767485423431e-214,"Neuron","LOC727311"
"LOC409869",9.82288750350547e-218,0.932673941432368,0.773,0.365,9.83074581350827e-214,"Neuron","LOC409869"
"LOC726284",1.98391657818911e-217,0.798220627218852,0.501,0.053,1.98550371145166e-213,"Neuron","LOC726284"
"LOC102655329",5.13820656796428e-215,0.898318311360526,0.954,0.8,5.14231713321865e-211,"Neuron","LOC102655329"
"LOC552020",5.6172627635721e-215,1.09448894742604,0.877,0.588,5.62175657378296e-211,"Neuron","LOC552020"
"LOC411557",4.06271512698577e-214,0.924297646590219,0.973,0.799,4.06596529908736e-210,"Neuron","LOC411557"
"LOC102653763",5.97562491301077e-214,0.922108498415992,0.509,0.061,5.98040541294118e-210,"Neuron","LOC102653763"
"LOC412667",8.32056714340912e-213,0.966650206692472,0.496,0.054,8.32722359712385e-209,"Neuron","LOC412667"
"LOC725190",9.09081836987087e-213,0.762065692636521,0.488,0.046,9.09809102456676e-209,"Neuron","LOC725190"
"LOC411507",2.55157313314807e-212,0.723363125604463,0.471,0.033,2.55361439165459e-208,"Neuron","LOC411507"
"LOC409245",5.72025120662932e-212,0.97742576540924,0.66,0.234,5.72482740759462e-208,"Neuron","LOC409245"
"LOC413002",2.00177764320101e-211,0.766499622737575,0.476,0.038,2.00337906531557e-207,"Neuron","LOC413002"
"LOC107964204",2.52620113047656e-211,0.808751301173685,0.643,0.208,2.52822209138094e-207,"Neuron","LOC107964204"
"LOC552195",1.17927019783659e-210,0.768645843167071,0.493,0.051,1.18021361399486e-206,"Neuron","LOC552195"
"LOC408721",2.58460265624921e-209,1.21536034475026,0.714,0.315,2.58667033837421e-205,"Neuron","LOC408721"
"LOC409771",1.28744322181468e-207,0.81141186764686,0.478,0.042,1.28847317639213e-203,"Neuron","LOC409771"
"LOC408971",1.63753354691245e-207,0.769204430125124,0.49,0.053,1.63884357374998e-203,"Neuron","LOC408971"
"LOC100576461",9.10124480105858e-207,0.780555511762999,0.555,0.117,9.10852579689942e-203,"Neuron","LOC100576461"
"LOC409678",2.32908522816454e-206,0.793297126264755,0.515,0.077,2.33094849634708e-202,"Neuron","LOC409678"
"LOC411114",1.90236714948709e-205,0.78639165629543,0.963,0.743,1.90388904320668e-201,"Neuron","LOC411114"
"LOC100578436",3.05339443343973e-205,1.08094612479722,0.486,0.055,3.05583714898648e-201,"Neuron","LOC100578436"
"LOC410686",4.35470917482512e-205,0.894126444493082,0.776,0.381,4.35819294216498e-201,"Neuron","LOC410686"
"LOC411344",1.39103913720726e-204,1.11686303009521,0.774,0.411,1.39215196851702e-200,"Neuron","LOC411344"
"LOC410956",1.34901413508548e-203,0.819616933038544,0.908,0.618,1.35009334639355e-199,"Neuron","LOC410956"
"LOC551490",1.37722228623907e-202,0.575121970025328,0.836,0.4,1.37832406406807e-198,"Neuron","LOC551490"
"LOC410304",2.04050726416551e-202,0.96167713803848,0.926,0.652,2.04213966997684e-198,"Neuron","LOC410304"
"LOC413399",1.05226732624718e-200,0.961579525840127,0.749,0.38,1.05310914010818e-196,"Neuron","LOC413399"
"LOC102656465",5.8701897300244e-199,0.857195423239778,0.624,0.195,5.87488588180842e-195,"Neuron","LOC102656465"
"LOC409257",1.88288000703714e-195,1.55265633738233,0.736,0.356,1.88438631104277e-191,"Neuron","LOC409257"
"LOC100577986",2.028106809771e-194,0.706962489084581,0.503,0.081,2.02972929521881e-190,"Neuron","LOC100577986"
"LOC408267",2.84945360702991e-194,0.803821532623531,0.793,0.442,2.85173316991554e-190,"Neuron","LOC408267"
"LOC414032",2.92735261440996e-193,0.761034418138153,0.492,0.074,2.92969449650149e-189,"Neuron","LOC414032"
"LOC726728",2.1152093924126e-192,0.794487842465438,0.741,0.372,2.11690155992653e-188,"Neuron","LOC726728"
"LOC107966102",4.0492364271856e-192,1.41234203420835,0.741,0.441,4.05247581632735e-188,"Neuron","LOC107966102"
"LOC410067",2.09814108191859e-190,0.727413058796966,0.443,0.035,2.09981959478413e-186,"Neuron","LOC410067"
"LOC409207",2.09909292334214e-189,0.874957194382601,0.681,0.281,2.10077219768081e-185,"Neuron","LOC409207"
"LOC409957",2.91279797190593e-187,0.828254562933319,0.677,0.289,2.91512821028345e-183,"Neuron","LOC409957"
"LOC100577188",5.51359725374602e-186,0.79271329654454,0.532,0.12,5.51800813154901e-182,"Neuron","LOC100577188"
"LOC411519",3.22322725652989e-184,0.914229553724416,0.478,0.076,3.22580583833511e-180,"Neuron","LOC411519"
"LOC102653613",1.77379417044021e-183,0.711069829624437,0.474,0.065,1.77521320577656e-179,"Neuron","LOC102653613"
"LOC408951",2.87272715669103e-183,0.801070968034553,0.663,0.271,2.87502533841639e-179,"Neuron","LOC408951"
"LOC100579049",6.93725056572214e-182,0.767294403506202,0.619,0.226,6.94280036617472e-178,"Neuron","LOC100579049"
"LOC408766",6.09700679963834e-181,0.704966773701231,0.916,0.603,6.10188440507805e-177,"Neuron","LOC408766"
"LOC409748",1.85138782178236e-178,0.810500390646036,0.817,0.483,1.85286893203978e-174,"Neuron","LOC409748"
"LOC410117",7.65725686926991e-178,0.479735082560289,0.937,0.697,7.66338267476533e-174,"Neuron","LOC410117"
"LOC409137",6.34979517869849e-177,0.674250528237462,0.555,0.136,6.35487501484144e-173,"Neuron","LOC409137"
"LOC726648",8.36366946651706e-177,0.652276278732161,0.437,0.048,8.37036040209027e-173,"Neuron","LOC726648"
"LOC724991",1.38158158908026e-175,0.756338072804011,0.636,0.243,1.38268685435153e-171,"Neuron","LOC724991"
"LOC408910",4.80849441225818e-171,0.637607278061077,0.412,0.033,4.81234120778799e-167,"Neuron","LOC408910"
"LOC100576421",6.43434066623588e-171,0.876072547281574,0.721,0.378,6.43948813876887e-167,"Neuron","LOC100576421"
"LOC408331",6.44625524544831e-170,0.801298045531041,0.843,0.587,6.45141224964467e-166,"Neuron","LOC408331"
"LOC412917",8.50750991229715e-169,0.942989778926479,0.812,0.489,8.51431592022699e-165,"Neuron","LOC412917"
"LOC724737",1.55807163068276e-168,0.738359431795424,0.771,0.421,1.55931808798731e-164,"Neuron","LOC724737"
"LOC726106",2.76695551289132e-168,0.866448813867689,0.409,0.035,2.76916907730163e-164,"Neuron","LOC726106"
"LOC411116",4.12378036053355e-168,0.735091699454612,0.488,0.104,4.12707938482197e-164,"Neuron","LOC411116"
"LOC411467",4.63157544242517e-167,0.654536160088115,0.419,0.044,4.63528070277911e-163,"Neuron","LOC411467"
"LOC409714",3.0858364449441e-165,0.72469856738168,0.838,0.472,3.08830511410006e-161,"Neuron","LOC409714"
"LOC408853",7.18533858407061e-165,0.743255638057261,0.563,0.186,7.19108685493787e-161,"Neuron","LOC408853"
"LOC724762",5.20127680876366e-164,0.630295239139264,0.407,0.038,5.20543783021067e-160,"Neuron","LOC724762"
"LOC726433",2.71925792005968e-163,0.592968336736221,0.406,0.039,2.72143332639573e-159,"Neuron","LOC726433"
"LOC100577322",2.24741039723449e-162,0.623581925669597,0.394,0.03,2.24920832555227e-158,"Neuron","LOC100577322"
"LOC411653",4.8990300223022e-162,0.651077903207133,0.395,0.032,4.90294924632004e-158,"Neuron","LOC411653"
"LOC726941",1.40723412215528e-161,0.747866499032898,0.663,0.323,1.408359909453e-157,"Neuron","LOC726941"
"LOC725336",5.04086421280568e-161,0.658152195000187,1,0.986,5.04489690417592e-157,"Neuron","LOC725336"
"LOC409364",3.48437184955453e-160,0.666497372158186,0.511,0.137,3.48715934703418e-156,"Neuron","LOC409364"
"LOC102654654",3.07024691911533e-156,0.642085478028254,0.393,0.036,3.07270311665062e-152,"Neuron","LOC102654654"
"LOC410780",3.8348602317536e-156,0.48048668192504,0.731,0.318,3.837928119939e-152,"Neuron","LOC410780"
"LOC409108",3.07903714277258e-155,0.532040136044024,0.84,0.519,3.0815003724868e-151,"Neuron","LOC409108"
"LOC409131",9.07990326375792e-155,0.608708376931118,0.391,0.036,9.08716718636893e-151,"Neuron","LOC409131"
"LOC409981",4.34513203109594e-154,0.640443375294071,0.411,0.052,4.34860813672081e-150,"Neuron","LOC409981"
"LOC409865",7.16545846859217e-154,0.742184364294012,0.773,0.475,7.17119083536705e-150,"Neuron","LOC409865"
"LOC413633",8.18466765762305e-154,0.676094093430898,0.415,0.057,8.19121539174915e-150,"Neuron","LOC413633"
"LOC113218941",2.92166369832167e-153,0.577452646419815,0.392,0.04,2.92400102928033e-149,"Neuron","LOC113218941"
"LOC100576859",4.71584666818884e-153,0.645852713823027,0.429,0.07,4.71961934552339e-149,"Neuron","LOC100576859"
"LOC113219183",1.66284788152315e-151,0.824567390158656,0.397,0.043,1.66417815982837e-147,"Neuron","LOC113219183"
"LOC100577822",2.32377958873355e-151,0.602302987545683,0.387,0.038,2.32563861240454e-147,"Neuron","LOC100577822"
"LOC725556",3.48743500474959e-151,0.701497375717014,0.734,0.416,3.49022495275339e-147,"Neuron","LOC725556"
"LOC550870",4.38822312092197e-149,0.732702180438211,0.567,0.199,4.39173369941871e-145,"Neuron","LOC550870"
"LOC107964610",6.71957183481615e-149,0.614581889544328,0.454,0.096,6.724947492284e-145,"Neuron","LOC107964610"
"LOC551432",6.79392744342347e-148,0.717918672663681,0.813,0.529,6.79936258537821e-144,"Neuron","LOC551432"
"LOC107965147",1.91497259177643e-147,0.588980234567332,0.38,0.038,1.91650456984985e-143,"Neuron","LOC107965147"
"LOC726044",1.8598734677349e-146,0.713335003994346,0.643,0.296,1.86136136650908e-142,"Neuron","LOC726044"
"LOC551146",4.94010492924099e-145,0.709212469230948,0.74,0.442,4.94405701318438e-141,"Neuron","LOC551146"
"LOC100577239",1.19446917824678e-144,0.627339018798096,0.36,0.025,1.19542475358938e-140,"Neuron","LOC100577239"
"LOC726827",2.01217329021098e-144,0.541153067338458,0.378,0.038,2.01378302884315e-140,"Neuron","LOC726827"
